Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
348,1975,Male,Public Administration and Safety,Public Administration,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
349,1965,Male,Wholesale Trade,Motor Vehicle and Motor Vehicle Parts Wholesaling,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
350,1967,Male,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,No,Single person,More than 5 years,Metro,40%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
351,1997,Female,Health Care and Social Assistance,Social Assistance Services,Sales ,Sales Assistants and Salespersons,More than 200,No,One  parent family with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
352,1990,Male,Manufacturing,Basic Chemical and Chemical Product Manufacturing,Machinery operators and drivers,Road and Rail Drivers,I am the only employee,Yes,One  parent family with dependent children,Between 6 and 12 months,Regional,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,,,,
353,1962,Male,Arts and Recreation Services,Sports and Recreation Activities,Technicians and trades ,Electrotechnology and Telecommunications Trades ,Between 5 and 19,Yes,Single person,More than 5 years,Regional,10%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
354,1978,Female,Accommodation and Food Services,Food and Beverage Services,Managers,"Hospitality, Retail and Service Managers",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
355,1984,Female,Health Care and Social Assistance,Residential Care Services,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
356,1961,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,70%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
357,1958,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,,
358,1969,Male,Health Care and Social Assistance,Social Assistance Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
359,1971,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
360,1972,Female,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Sales ,Sales Representatives and Agents,Between 20 and 199,No,Single person,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,,,,
361,1979,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,50%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,,,,
362,1966,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Clerical and administrative ,Office Managers and Program Administrators,More than 200,No,Single person,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
363,1959,Female,Arts and Recreation Services,Sports and Recreation Activities,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Single person,More than 5 years,Regional,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,,,,
364,1995,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
365,1983,Female,Information Media and Telecommunications,Broadcasting (except Internet),Professionals,Arts and Media Professionals,Between 1 and 4,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,
366,1968,Male,Wholesale Trade,Basic Material Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
367,1966,Male,Wholesale Trade,Machinery and Equipment Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
368,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
369,1966,Male,Manufacturing,Beverage and Tobacco Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50%,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,,,
370,1964,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,I am the only employee,No,Multiple family household,More than 5 years,Regional,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
371,1969,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,60%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
372,1981,Male,Other Services,Personal and Other Services,Sales ,Sales Representatives and Agents,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,
373,1970,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
374,1970,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
375,1957,Male,Health Care and Social Assistance,Social Assistance Services,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
376,1966,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,50%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,,,
377,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,
378,1989,Female,Arts and Recreation Services,Sports and Recreation Activities,Managers,Specialist Managers,Between 20 and 199,No,Group household,More than 5 years,Metro,50%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
379,1966,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,
380,1985,Male,Health Care and Social Assistance,Social Assistance Services,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
381,1988,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,I am the only employee,No,Group household,More than 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
382,1974,Female,Arts and Recreation Services,Heritage Activities,Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,,,,
383,1972,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,80%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
384,1957,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,
385,1966,Male,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,,,,
386,1956,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",I am the only employee,No,Couple with no dependent children,More than 5 years,Metro,100%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,,,,
387,1989,Female,Administrative and Support Services,Administrative Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Group household,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
388,1974,Female,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,
389,1968,Female,Education and Training,Tertiary Education,Professionals,ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
390,1966,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Office Managers and Program Administrators,More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
391,1960,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,
392,1963,Female,Education and Training,Tertiary Education,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
393,1983,Female,Information Media and Telecommunications,Telecommunications Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,More than 5 years,Metro,70%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
394,1957,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 1 and 4,Yes,Single person,Between 1 and 5 years,Metro,90%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,
395,1985,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,More than 200,No,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
396,1961,Male,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,Between 1 and 4,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
397,1988,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Sales ,Sales Representatives and Agents,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
398,1996,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
399,1958,Male,Manufacturing,Transport Equipment Manufacturing,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
400,1977,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",Between 5 and 19,No,Single person,More than 5 years,Regional,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
401,1983,Male,"Electricity, Gas, Water and Waste Services","Water Supply, Sewerage and Drainage Services",Technicians and trades ,"Engineering, ICT and Science Technicians",Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
402,1968,Female,Accommodation and Food Services,Accommodation,Professionals,"Business, Human Resource and Marketing Professionals",Between 1 and 4,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
403,1982,Male,Financial and Insurance Services,Finance,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
404,1970,Female,Retail Trade,Other Store-Based Retailing,Clerical and administrative ,Other Clerical and Administrative ,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,
405,1968,Male,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,,,
406,1971,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
407,1985,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,90%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,
408,1983,Female,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
409,1970,Male,Other Services,Personal and Other Services,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,Yes,Group household,More than 5 years,Metro,20%,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,,,,
410,1971,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
411,1956,Male,Wholesale Trade,Other Goods Wholesaling,Managers,"Hospitality, Retail and Service Managers",Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
412,1969,Male,Manufacturing,Non-Metallic Mineral Product Manufacturing,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
413,1981,Female,Other Services,Personal and Other Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,Yes,Single person,More than 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
414,1957,Female,Administrative and Support Services,Administrative Services,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
415,1971,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
416,1967,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Other one family household,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
417,1984,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
418,2000,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
419,1972,Female,Administrative and Support Services,Administrative Services,Managers,"Hospitality, Retail and Service Managers",Between 1 and 4,No,Couple with dependent children,Between 1 and 5 years,Metro,100%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
420,1994,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 1 and 5 years,Metro,20%,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
421,1972,Female,Education and Training,Tertiary Education,Managers,Specialist Managers,More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
422,1959,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,30%,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,,,,
423,1965,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
424,1978,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
425,1979,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,Yes,Single person,More than 5 years,Metro,100%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,,,,
426,1974,Male,Retail Trade,Other Store-Based Retailing,Professionals,ICT Professionals,More than 200,No,Group household,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
427,1966,Female,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,No,Single person,Between 6 and 12 months,Metro,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,
428,1980,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
429,1958,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,Health Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
430,1969,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,,,,
431,1991,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Support ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,100%,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,
432,1987,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,,,
433,1985,Male,"Agriculture, Forestry and Fishing","Agriculture, Forestry and Fishing Support Services",Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
434,1961,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with no dependent children,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
435,1968,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Machinery operators and drivers,Machine and Stationary Plant Operators,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,,,,
436,1986,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,Yes,Group household,More than 5 years,Regional,0%,NA,NA,NA,NA,NA,NA,,,,
437,1956,Male,Financial and Insurance Services,Finance,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
438,1968,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
439,1973,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Single person,Between 6 and 12 months,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
440,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,
441,1967,Male,Public Administration and Safety,Public Administration,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Single person,Between 6 and 12 months,Metro,80%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
442,1964,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,
443,1963,Female,Other Services,Personal and Other Services,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100%,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,,,,
444,1961,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
445,1971,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Regional,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
446,1994,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,10%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,
447,1978,Male,Wholesale Trade,Other Goods Wholesaling,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,Yes,Single person,More than 5 years,Metro,50%,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,
448,1966,Female,Manufacturing,Furniture and Other Manufacturing,Managers,Specialist Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,,,
449,1965,Male,Manufacturing,Furniture and Other Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
